name,speed,t,target,m,s,i,lra
test1,1200,0.110646,-23,-120.7,-120.7,-70.0,0.0
test1,1200,0.221312,-23,-120.7,-120.7,-70.0,0.0
test1,1200,0.331979,-23,-120.7,-120.7,-70.0,0.0
test1,1200,0.431979,-23,-37.3,-120.7,-37.3,0.0
test1,1200,0.553312,-23,-36.1,-120.7,-36.7,0.0
test1,1200,0.663979,-23,-35.9,-120.7,-36.4,0.0
test1,1200,0.785312,-23,-35.7,-120.7,-36.2,0.0
test1,1200,0.885312,-23,-35.6,-120.7,-36.1,0.0
test1,1200,1.00665,-23,-35.4,-120.7,-36.0,0.0
test1,1200,1.11731,-23,-35.3,-120.7,-35.9,0.0
test1,1200,1.22798,-23,-35.3,-120.7,-35.8,0.0
test1,1200,1.33865,-23,-35.3,-120.7,-35.7,0.0
test1,1200,1.44931,-23,-35.5,-120.7,-35.7,0.0
test1,1200,1.57065,-23,-35.7,-120.7,-35.7,0.0
test1,1200,1.68131,-23,-35.8,-120.7,-35.7,0.0
test1,1200,1.79198,-23,-35.9,-120.7,-35.7,0.0
test1,1200,1.91331,-23,-35.9,-120.7,-35.7,0.0
test1,1200,2.03465,-23,-35.8,-120.7,-35.7,0.0
test1,1200,2.14531,-23,-35.6,-120.7,-35.7,0.0
test1,1200,2.25598,-23,-35.4,-120.7,-35.7,0.0
test1,1200,2.37731,-23,-35.3,-120.7,-35.7,0.0
test1,1200,2.49865,-23,-35.3,-120.7,-35.7,0.0
test1,1200,2.59865,-23,-35.4,-120.7,-35.7,0.0
test1,1200,2.71998,-23,-35.5,-120.7,-35.6,0.0
test1,1200,2.83065,-23,-35.6,-120.7,-35.6,0.0
test1,1200,2.95198,-23,-35.6,-120.7,-35.6,0.0
test1,1200,3.07331,-23,-35.7,-120.7,-35.6,0.0
test1,1200,3.18398,-23,-35.8,-120.7,-35.6,0.0
test1,1200,3.30531,-23,-35.8,-120.7,-35.7,0.0
test1,1200,3.41598,-23,-35.8,-35.8,-35.7,20.0
test1,1200,3.53731,-23,-35.8,-35.6,-35.7,20.1
test1,1200,3.64798,-23,-35.7,-35.6,-35.7,20.1
test1,1200,3.76931,-23,-35.8,-35.6,-35.7,20.1
test1,1200,3.87998,-23,-35.8,-35.6,-35.7,0.2
test1,1200,4.00131,-23,-35.8,-35.6,-35.7,0.2
test1,1200,4.11198,-23,-35.7,-35.6,-35.7,0.2
test1,1200,4.22265,-23,-35.7,-35.6,-35.7,0.2
test1,1200,4.34398,-23,-35.7,-35.6,-35.7,0.2
test1,1200,4.45465,-23,-35.7,-35.7,-35.7,0.2
test1,1200,4.56531,-23,-36.0,-35.7,-35.7,0.2
test1,1200,4.68665,-23,-36.2,-35.7,-35.7,0.2
test1,1200,4.79731,-23,-36.3,-35.8,-35.7,0.2
test1,1200,4.91865,-23,-36.4,-35.8,-35.7,0.2
test1,1200,5.02931,-23,-36.4,-35.8,-35.7,0.2
test1,1200,5.13998,-23,-36.3,-35.8,-35.8,0.2
test1,1200,5.26131,-23,-36.3,-35.8,-35.8,0.2
test1,1200,5.38265,-23,-36.3,-35.8,-35.8,0.2
test1,1200,5.49331,-23,-36.3,-35.8,-35.8,0.2
test1,1200,5.61465,-23,-36.3,-35.9,-35.8,0.2
test1,1200,5.72531,-23,-36.1,-35.9,-35.8,0.3
test1,1200,5.83598,-23,-35.9,-35.9,-35.8,0.3
test1,1200,5.94665,-23,-35.8,-35.9,-35.8,0.3
test1,1200,6.05731,-23,-35.8,-35.9,-35.8,0.3
test1,1200,6.16798,-23,-35.8,-35.9,-35.8,0.3
test1,1200,6.27865,-23,-35.9,-36.0,-35.8,0.3
test1,1200,6.39998,-23,-36.0,-36.0,-35.8,0.3
test1,1200,6.51065,-23,-36.0,-36.0,-35.8,0.4
test1,1200,6.62131,-23,-36.1,-36.0,-35.8,0.4
test1,1200,6.73198,-23,-36.1,-36.0,-35.8,0.4
test1,1200,6.85331,-23,-36.2,-36.0,-35.8,0.4
test1,1200,6.96398,-23,-36.3,-36.0,-35.8,0.4
test1,1200,7.08531,-23,-36.3,-36.1,-35.9,0.4
test1,1200,7.19598,-23,-36.2,-36.1,-35.9,0.4
test1,1200,7.30665,-23,-36.0,-36.1,-35.9,0.4
test1,1200,7.42798,-23,-35.9,-36.1,-35.9,0.5
test1,1200,7.53865,-23,-35.9,-36.1,-35.9,0.5
test1,1200,7.64931,-23,-36.1,-36.1,-35.9,0.5
test1,1200,7.77065,-23,-36.2,-36.1,-35.9,0.5
test1,1200,7.88131,-23,-36.3,-36.1,-35.9,0.5
test1,1200,8.00265,-23,-36.3,-36.1,-35.9,0.5
test1,1200,8.12398,-23,-36.3,-36.1,-35.9,0.5
test1,1200,8.23465,-23,-36.4,-36.1,-35.9,0.5
test1,1200,8.35598,-23,-36.3,-36.1,-35.9,0.5
test1,1200,8.46665,-23,-36.1,-36.1,-35.9,0.5
test1,1200,8.58798,-23,-36.0,-36.1,-35.9,0.5
test1,1200,8.69865,-23,-35.9,-36.1,-35.9,0.5
test1,1200,8.81998,-23,-35.9,-36.1,-35.9,0.5
test1,1200,8.93065,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.04131,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.16265,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.27331,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.38398,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.50531,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.62665,-23,-36.0,-36.1,-35.9,0.5
test1,1200,9.73731,-23,-35.9,-36.1,-35.9,0.5
test1,1200,9.85865,-23,-35.6,-36.0,-35.9,0.5
test1,1200,9.96931,-23,-35.5,-36.0,-35.9,0.5
test1,1200,10.08,-23,-35.3,-36.0,-35.9,0.5
test1,1200,10.2013,-23,-35.2,-35.9,-35.9,0.5
test1,1200,10.3226,-23,-35.1,-35.9,-35.9,0.5
test1,1200,10.4333,-23,-35.1,-35.8,-35.9,0.5
test1,1200,10.544,-23,-35.0,-35.8,-35.9,0.5
test1,1200,10.644,-23,-34.8,-35.7,-35.8,0.5
test1,1200,10.7653,-23,-34.8,-35.7,-35.8,0.5
test1,1200,10.8866,-23,-34.8,-35.7,-35.8,0.5
test1,1200,10.9973,-23,-35.9,-35.8,-35.8,0.5
test1,1200,11.1186,-23,-37.5,-35.9,-35.8,0.5
